geom,country_code,code,name,fishing_port,landing_place,commercial_port,enabled
SRID=4326;MULTIPOINT(27.717 42.65),BGR,BGNES,Nessebar,Y,"",Y,Y
SRID=4326;MULTIPOINT(27.888 42.809),BGR,BGOBZ,Obzor,Y,"","",Y
SRID=4326;MULTIPOINT(27.527 42.437),BGR,BGOTM,Otmanli,Y,"","",Y
SRID=4326;MULTIPOINT(28.054 43.303),BGR,BGPAN,Panorama,Y,"","",Y
SRID=4326;MULTIPOINT(27.639 42.551),BGR,BGPOR,Pomorie,Y,"",Y,Y
SRID=4326;MULTIPOINT(27.758 42.264),BGR,BGPRI,Primorsko,Y,"","",Y
SRID=4326;MULTIPOINT(27.673 42.637),BGR,BGRAV,Ravda,Y,"","",Y
SRID=4326;MULTIPOINT(27.894 43.196),BGR,BGRD2,Rodopa 2,Y,"","",Y
SRID=4326;MULTIPOINT(27.895 43.197),BGR,BGRDA,Rodopa 1,Y,"","",Y
SRID=4326;MULTIPOINT(28.028 41.983),BGR,BGREZ,Rezovo,Y,"","",Y
SRID=4326;MULTIPOINT(28.525 43.421),BGR,BGRUS,Rusalka,Y,"","",Y
SRID=4326;MULTIPOINT(27.518 42.554),BGR,BGSAR,Sarafovo,Y,"","",Y
SRID=4326;MULTIPOINT(28.243 43.405),BGR,BGSBA,SBA,Y,"","",Y
SRID=4326;MULTIPOINT(27.903 43.185),BGR,BGSEK,Sever Eksport,Y,"","",Y
SRID=4326;MULTIPOINT(28.607 43.541),BGR,BGSHA,Shabla,Y,"","",Y
SRID=4326;MULTIPOINT(27.898 42.958),BGR,BGSHK,Shkorpilovtsi,Y,"","",Y
SRID=4326;MULTIPOINT(27.992 42.061),BGR,BGSIN,Sinemorets,Y,"","",Y
SRID=4326;MULTIPOINT(27.799 43.186),BGR,BGSLK,Slivkata,Y,"","",Y
SRID=4326;MULTIPOINT(27.683 42.417),BGR,BGSOZ,Sozopol,Y,"",Y,Y
SRID=4326;MULTIPOINT(27.74 43.197),BGR,BGSTR,Strashimirovo,Y,"","",Y
SRID=4326;MULTIPOINT(27.766 42.706),BGR,BGSVV,Sveti Vlas,Y,"","",Y
SRID=4326;MULTIPOINT(27.98 43.218),BGR,BGTRK,Trakata,Y,"","",Y
SRID=4326;MULTIPOINT(27.85 42.167),BGR,BGTRV,Tsarevo,Y,"","",Y
SRID=4326;MULTIPOINT(28.216 43.399),BGR,BGTUZ,Tuzlata,Y,"","",Y
SRID=4326;MULTIPOINT(28.586 43.495),BGR,BGTYL,Tyulenovo,Y,"","",Y
SRID=4326;MULTIPOINT(27.9 43.183),BGR,BGVAR,Varna,Y,"",Y,Y
SRID=4326;MULTIPOINT(27.914 43.19),BGR,BGVAZ,Varna-Zapad,Y,"","",Y
SRID=4326;MULTIPOINT(27.862 43.192),BGR,BGVES,Veslets,Y,"","",Y
SRID=4326;MULTIPOINT(27.911 42.12),BGR,BGVRV,Varvara,Y,"","",Y
SRID=4326;MULTIPOINT(27.896 43.195),BGR,BGYVA,Yahtklub Varna,Y,"","",Y
SRID=4326;MULTIPOINT(28.434 43.384),BGR,BGZEL,Zelenka,Y,"","",Y
SRID=4326;MULTIPOINT(27.804 43.184),BGR,BGZVE,Zvezditsa,Y,"","",Y
SRID=4326;MULTIPOINT(2.433 6.367),BEN,BJCOO,Cotonou,Y,"","",Y
SRID=4326;MULTIPOINT(-37.072 -10.945),BRA,BRAJU,Aracaju,Y,"","",Y
SRID=4326;MULTIPOINT(-34.834 -6.966),BRA,BRCDO,Cabedelo,Y,"","",Y
SRID=4326;MULTIPOINT(-48.671 -26.909),BRA,BRITJ,Itajai,Y,"","",Y
SRID=4326;MULTIPOINT(-35.201 -5.779),BRA,BRNAT,Natal,Y,"","",Y
SRID=4326;MULTIPOINT(-40.067 -19.829),BRA,BRPCL,Portocel,Y,"","",Y
SRID=4326;MULTIPOINT(-43.173 -22.907),BRA,BRRIO,Rio de Janeiro,Y,"","",Y
SRID=4326;MULTIPOINT(-46.325 -23.968),BRA,BRSSZ,Santos,Y,"","",Y
SRID=4326;MULTIPOINT(-40.296 -20.297),BRA,BRVIX,Vitória,Y,"","",Y
SRID=4326;MULTIPOINT(-53.3 47.583),CAN,CABYR,Bay Roberts,Y,"","",Y
SRID=4326;MULTIPOINT(-54.55 48.95),CAN,CAGAN,Gander,Y,"","",Y
SRID=4326;MULTIPOINT(-54 47.3),CAN,CANWP,ARGENTIA,Y,"","",Y
SRID=4326;MULTIPOINT(-52.733 47.567),CAN,CASJF,Saint-John's,Y,"","",Y
SRID=4326;MULTIPOINT(-4.034 5.319),CIV,CIABJ,Abidjan,Y,"","",Y
SRID=4326;MULTIPOINT(-70.933 -53.133),CHL,CLPUQ,Punta Arenas,Y,"","",Y
SRID=4326;MULTIPOINT(-73.133 -36.7),CHL,CLSVE,San Vicente,Y,"","",Y
SRID=4326;MULTIPOINT(-74.807 11.004),COL,COBAQ,Barranquilla,Y,"","",Y
SRID=4326;MULTIPOINT(-25 16.883),CPV,CVMIN,Mindelo,Y,"","",Y
SRID=4326;MULTIPOINT(-22.917 16.75),CPV,CVSID,Ilha do Sal,Y,"","",Y
SRID=4326;MULTIPOINT(-24.975 16.827),CPV,CVVXE,Sao Vicente,Y,"","",Y
SRID=4326;MULTIPOINT(34.003 34.982),CYP,CYAYI,Ayia Napa,Y,"","",Y
SRID=4326;MULTIPOINT(32.318 34.903),CYP,CYGEO,Ayios Georgios,Y,"","",Y
SRID=4326;MULTIPOINT(33.641 34.917),CYP,CYLAR,Larnaca Port,Y,"","",Y
SRID=4326;MULTIPOINT(32.394 35.041),CYP,CYLAT,Latchi,Y,"",Y,Y
SRID=4326;MULTIPOINT(33.633 34.883),CYP,CYLFS,Larnaca Fishing Shelter,Y,"","",Y
SRID=4326;MULTIPOINT(33.017 34.65),CYP,CYLIM,Limassol New Port,Y,"","",Y
SRID=4326;MULTIPOINT(33.043 34.669),CYP,CYLOP,Limassol Old Port,Y,"","",Y
SRID=4326;MULTIPOINT(33.777 34.981),CYP,CYORM,Ormidia,Y,"","",Y
SRID=4326;MULTIPOINT(34.037 35.038),CYP,CYPAR,Paralimni,Y,"","",Y
SRID=4326;MULTIPOINT(32.412 34.755),CYP,CYPFO,Paphos,Y,"",Y,Y
SRID=4326;MULTIPOINT(32.55 35.167),CYP,CYPOM,Pomos,Y,"","",Y
SRID=4326;MULTIPOINT(33.901 34.97),CYP,CYPOT,Potamos,Y,"","",Y
SRID=4326;MULTIPOINT(32.671 35.19),CYP,CYPYR,Pyrgos,Y,"","",Y
SRID=4326;MULTIPOINT(34.016 35.055),CYP,CYTRI,Ayia Triada,Y,"","",Y
SRID=4326;MULTIPOINT(33.831 34.964),CYP,CYXYL,Xylofagou,Y,"","",Y
SRID=4326;MULTIPOINT(33.338 34.727),CYP,CYZYG,Zygi,Y,"","",Y
SRID=4326;MULTIPOINT(9.933 54.633),DEU,DE4AV,ARNIS,Y,"","",Y
SRID=4326;MULTIPOINT(12.622 54.372),DEU,DE5B6,BODSTEDT,Y,"","",Y
SRID=4326;MULTIPOINT(9.567 53.717),DEU,DE63D,Seester,Y,"","",Y
SRID=4326;MULTIPOINT(11.061 54.188),DEU,DE63V,Kellenhusen,Y,"","",Y
SRID=4326;MULTIPOINT(10.765 54.062),DEU,DE64R,Sierksdorf,Y,"","",Y
SRID=4326;MULTIPOINT(10.753 54.051),DEU,DE64V,Haffkrug,Y,"","",Y
SRID=4326;MULTIPOINT(10.813 53.993),DEU,DE64Z,Niendorf Ostsee,Y,"","",Y
SRID=4326;MULTIPOINT(10.68 54.318),DEU,DE65G,Hohwacht,Y,"","",Y
SRID=4326;MULTIPOINT(8.883 54.005),DEU,DE68S,FRIEDRICHSKOOG,Y,"","",Y
SRID=4326;MULTIPOINT(8.381 54.631),DEU,DE69S,WITTDÜN,Y,"","",Y
SRID=4326;MULTIPOINT(11.898 54.148),DEU,DE73B,Börgerende,Y,"","",Y
SRID=4326;MULTIPOINT(8.521 53.736),DEU,DE75Q,Dorum,Y,"","",Y
SRID=4326;MULTIPOINT(11.563 54.031),DEU,DE7B6,BOIENSDORF,Y,"","",Y
SRID=4326;MULTIPOINT(14.271 53.739),DEU,DE8AN,ALTWARP,Y,"","",Y
SRID=4326;MULTIPOINT(12.421 54.381),DEU,DEAAN,AHRENSHOOP-ALTHAGEN,Y,"","",Y
SRID=4326;MULTIPOINT(8.049 53.526),DEU,DEACC,ACCUMERSIEL,Y,"","",Y
SRID=4326;MULTIPOINT(14.193 53.943),DEU,DEAHC,AHLBECK,Y,"","",Y
SRID=4326;MULTIPOINT(10.791 54.309),DEU,DEB02,Brök,Y,"","",Y
SRID=4326;MULTIPOINT(9.609 54.829),DEU,DEB99,BOCKHOLMWIK,Y,"","",Y
SRID=4326;MULTIPOINT(13.716 54.362),DEU,DEBA2,Baabe,Y,"","",Y
SRID=4326;MULTIPOINT(14.138 53.968),DEU,DEBA4,BANSIN,Y,"","",Y
SRID=4326;MULTIPOINT(12.727 54.372),DEU,DEBBH,BARTH,Y,"","",Y
SRID=4326;MULTIPOINT(9.418 53.877),DEU,DEBEI,BEIDENFLETH,Y,"",Y,Y
SRID=4326;MULTIPOINT(7.575 53.675),DEU,DEBEN,BENSERSIEL,Y,"",Y,Y
SRID=4326;MULTIPOINT(13.033 54.433),DEU,DEBH7,BARHÖFT,Y,"","",Y
SRID=4326;MULTIPOINT(8.483 53.333),DEU,DEBKE,BRAKE,Y,"",Y,Y
SRID=4326;MULTIPOINT(9.44 53.872),DEU,DEBL5,BAHRENFLETH,Y,"","",Y
SRID=4326;MULTIPOINT(9.434 53.752),DEU,DEBLJ,BIELENBERG,Y,"","",Y
SRID=4326;MULTIPOINT(6.75 53.558),DEU,DEBMK,BORKUM,Y,"",Y,Y
SRID=4326;MULTIPOINT(9.127 53.895),DEU,DEBRB,Brunsbüttel,Y,"",Y,Y
SRID=4326;MULTIPOINT(8.573 53.537),DEU,DEBRV,BREMERHAVEN,Y,"",Y,Y
SRID=4326;MULTIPOINT(11.191 54.422),DEU,DEBSK,BURGSTAAKEN,Y,"",Y,Y
SRID=4326;MULTIPOINT(8.85 54.133),DEU,DEBUM,Büsum,Y,"",Y,Y
SRID=4326;MULTIPOINT(13.6 54.4),DEU,DEBZR,BINZ,Y,"","",Y
SRID=4326;MULTIPOINT(8.7 53.867),DEU,DECUX,CUXHAVEN,Y,"",Y,Y
SRID=4326;MULTIPOINT(8.692 54.732),DEU,DEDAG,Dagebüll,Y,"",Y,Y
SRID=4326;MULTIPOINT(8.11 53.447),DEU,DEDAN,Dangast,Y,"","",Y
