geom,country_code,code,name,fishing_port,landing_place,commercial_port,enabled
"SRID=4326;MULTIPOINT(13.234 -8.838)",AGO,AOLAD,Luanda,Y,N,N,Y
"SRID=4326;MULTIPOINT(13.533 -12.367)",AGO,AOLOB,Lobito,Y,N,N,Y
"SRID=4326;MULTIPOINT(12.158 -15.195)",AGO,AOMSZ,Namibe,Y,N,N,Y
"SRID=4326;MULTIPOINT(-59.167 -33.683)",ARG,ARSPD,San Pedro,Y,N,N,Y
"SRID=4326;MULTIPOINT(-170.701 -14.279)",ASM,ASPPG,Pago Pago,Y,N,N,Y
"SRID=4326;MULTIPOINT(115.707 -32.056)",AUS,AUFRE,Fremantle,Y,N,N,Y
"SRID=4326;MULTIPOINT(4.417 51.217)",BEL,BEANR,Antwerpen,Y,N,Y,Y
"SRID=4326;MULTIPOINT(3.133 51.317)",BEL,BEBBG,Blankenberge,Y,N,N,Y
"SRID=4326;MULTIPOINT(3.717 51.25)",BEL,BEBHE,Boekhoute,Y,N,N,Y
"SRID=4326;MULTIPOINT(4.167 51.283)",BEL,BEKDE,Kieldrecht,Y,N,N,Y
"SRID=4326;MULTIPOINT(2.75 51.133)",BEL,BENIE,Nieuwpoort,Y,N,Y,Y
"SRID=4326;MULTIPOINT(2.917 51.217)",BEL,BEOST,Oostende (Ostend),Y,N,Y,Y
"SRID=4326;MULTIPOINT(3.2 51.333)",BEL,BEZEE,Zeebrugge,Y,N,Y,Y
"SRID=4326;MULTIPOINT(27.933 43.129)",BGR,BGADB,Ada Bahcha,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.652 42.637)",BGR,BGAHE,Aheloy,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.933 42.101)",BGR,BGAKH,Akhtopol,Y,N,Y,Y
"SRID=4326;MULTIPOINT(28.099 43.378)",BGR,BGALB,Albena,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.841 43.186)",BGR,BGAMO,Amonal,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.895 43.196)",BGR,BGANT,Anton Ivanov,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.733 42.336)",BGR,BGARK,Arkutino,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.9 43.184)",BGR,BGASP,Asparuhovo Keya,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.167 43.4)",BGR,BGBAL,Balchik,Y,N,Y,Y
"SRID=4326;MULTIPOINT(27.895 43.197)",BGR,BGBHZ,Buhta zapad,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.698 43.198)",BGR,BGBLV,Beloslav,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.94 43.208)",BGR,BGBN2,Buna 102,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.949 43.21)",BGR,BGBN3,Buna 103,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.933 43.205)",BGR,BGBNA,Buna 101,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.45 42.483)",BGR,BGBOJ,Burgas,Y,N,Y,Y
"SRID=4326;MULTIPOINT(28.471 43.382)",BGR,BGBOL,Bolata,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.896 42.853)",BGR,BGBYL,Byala,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.841 43.186)",BGR,BGCHA,Chayka,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.64 42.449)",BGR,BGCHM,Chernomorets,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.874 43.209)",BGR,BGCHN,Cherno more,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.539 42.456)",BGR,BGCHO,Chukalya,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.389 43.404)",BGR,BGDAL,Dalboka,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.573 43.589)",BGR,BGEZE,Ezerets,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.777 43.197)",BGR,BGEZR,Ezerovo,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.058 43.313)",BGR,BGFRE,Frenkliman,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.894 42.742)",BGR,BGIRA,Irakli,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.888 43.033)",BGR,BGKAM,Kamchia,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.35 43.411)",BGR,BGKB3,Kavarna Buna 3,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.357 43.411)",BGR,BGKBA,Kavarna Buna 1,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.781 42.234)",BGR,BGKIT,Kiten,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.029 43.249)",BGR,BGKOK,Kokodiva,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.767 43.187)",BGR,BGKON,Konstantinovo,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.069 43.327)",BGR,BGKRA,Kranevo,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.491 42.447)",BGR,BGKRE,Kraymorie,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.573 43.623)",BGR,BGKRP,Krapets,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.917 43.174)",BGR,BGKRT,Karantinata,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.359 43.411)",BGR,BGKVN,Kavarna,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.818 43.196)",BGR,BGKZO,Kazashko,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.799 43.202)",BGR,BGLES,Lesport,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.813 42.209)",BGR,BGLZC,Lozenets,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.874 43.196)",BGR,BGMCH,Malka Chayka,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.694 43.199)",BGR,BGMEC,Mecheto,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.717 42.65)",BGR,BGNES,Nessebar,Y,N,Y,Y
"SRID=4326;MULTIPOINT(27.888 42.809)",BGR,BGOBZ,Obzor,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.527 42.437)",BGR,BGOTM,Otmanli,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.054 43.303)",BGR,BGPAN,Panorama,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.639 42.551)",BGR,BGPOR,Pomorie,Y,N,Y,Y
"SRID=4326;MULTIPOINT(27.758 42.264)",BGR,BGPRI,Primorsko,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.673 42.637)",BGR,BGRAV,Ravda,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.894 43.196)",BGR,BGRD2,Rodopa 2,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.895 43.197)",BGR,BGRDA,Rodopa 1,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.028 41.983)",BGR,BGREZ,Rezovo,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.525 43.421)",BGR,BGRUS,Rusalka,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.518 42.554)",BGR,BGSAR,Sarafovo,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.243 43.405)",BGR,BGSBA,SBA,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.903 43.185)",BGR,BGSEK,Sever Eksport,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.607 43.541)",BGR,BGSHA,Shabla,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.898 42.958)",BGR,BGSHK,Shkorpilovtsi,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.992 42.061)",BGR,BGSIN,Sinemorets,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.799 43.186)",BGR,BGSLK,Slivkata,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.683 42.417)",BGR,BGSOZ,Sozopol,Y,N,Y,Y
"SRID=4326;MULTIPOINT(27.74 43.197)",BGR,BGSTR,Strashimirovo,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.766 42.706)",BGR,BGSVV,Sveti Vlas,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.98 43.218)",BGR,BGTRK,Trakata,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.85 42.167)",BGR,BGTRV,Tsarevo,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.216 43.399)",BGR,BGTUZ,Tuzlata,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.586 43.495)",BGR,BGTYL,Tyulenovo,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.9 43.183)",BGR,BGVAR,Varna,Y,N,Y,Y
"SRID=4326;MULTIPOINT(27.914 43.19)",BGR,BGVAZ,Varna-Zapad,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.862 43.192)",BGR,BGVES,Veslets,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.911 42.12)",BGR,BGVRV,Varvara,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.896 43.195)",BGR,BGYVA,Yahtklub Varna,Y,N,N,Y
"SRID=4326;MULTIPOINT(28.434 43.384)",BGR,BGZEL,Zelenka,Y,N,N,Y
"SRID=4326;MULTIPOINT(27.804 43.184)",BGR,BGZVE,Zvezditsa,Y,N,N,Y
"SRID=4326;MULTIPOINT(2.433 6.367)",BEN,BJCOO,Cotonou,Y,N,N,Y
"SRID=4326;MULTIPOINT(-37.072 -10.945)",BRA,BRAJU,Aracaju,Y,N,N,Y
"SRID=4326;MULTIPOINT(-34.834 -6.966)",BRA,BRCDO,Cabedelo,Y,N,N,Y
"SRID=4326;MULTIPOINT(-48.671 -26.909)",BRA,BRITJ,Itajai,Y,N,N,Y
"SRID=4326;MULTIPOINT(-35.201 -5.779)",BRA,BRNAT,Natal,Y,N,N,Y
"SRID=4326;MULTIPOINT(-40.067 -19.829)",BRA,BRPCL,Portocel,Y,N,N,Y
"SRID=4326;MULTIPOINT(-43.173 -22.907)",BRA,BRRIO,Rio de Janeiro,Y,N,N,Y
"SRID=4326;MULTIPOINT(-46.325 -23.968)",BRA,BRSSZ,Santos,Y,N,N,Y
"SRID=4326;MULTIPOINT(-40.296 -20.297)",BRA,BRVIX,Vitória,Y,N,N,Y
"SRID=4326;MULTIPOINT(-53.3 47.583)",CAN,CABYR,Bay Roberts,Y,N,N,Y
"SRID=4326;MULTIPOINT(-54.55 48.95)",CAN,CAGAN,Gander,Y,N,N,Y
"SRID=4326;MULTIPOINT(-54 47.3)",CAN,CANWP,ARGENTIA,Y,N,N,Y
"SRID=4326;MULTIPOINT(-52.733 47.567)",CAN,CASJF,Saint-John's,Y,N,N,Y
"SRID=4326;MULTIPOINT(-4.034 5.319)",CIV,CIABJ,Abidjan,Y,N,N,Y
"SRID=4326;MULTIPOINT(-70.933 -53.133)",CHL,CLPUQ,Punta Arenas,Y,N,N,Y
"SRID=4326;MULTIPOINT(-73.133 -36.7)",CHL,CLSVE,San Vicente,Y,N,N,Y
"SRID=4326;MULTIPOINT(-74.807 11.004)",COL,COBAQ,Barranquilla,Y,N,N,Y
"SRID=4326;MULTIPOINT(-25 16.883)",CPV,CVMIN,Mindelo,Y,N,N,Y
"SRID=4326;MULTIPOINT(-22.917 16.75)",CPV,CVSID,Ilha do Sal,Y,N,N,Y
"SRID=4326;MULTIPOINT(-24.975 16.827)",CPV,CVVXE,Sao Vicente,Y,N,N,Y
"SRID=4326;MULTIPOINT(34.003 34.982)",CYP,CYAYI,Ayia Napa,Y,N,N,Y
"SRID=4326;MULTIPOINT(32.318 34.903)",CYP,CYGEO,Ayios Georgios,Y,N,N,Y
"SRID=4326;MULTIPOINT(33.641 34.917)",CYP,CYLAR,Larnaca Port,Y,N,N,Y
"SRID=4326;MULTIPOINT(32.394 35.041)",CYP,CYLAT,Latchi,Y,N,Y,Y
"SRID=4326;MULTIPOINT(33.633 34.883)",CYP,CYLFS,Larnaca Fishing Shelter,Y,N,N,Y
"SRID=4326;MULTIPOINT(33.017 34.65)",CYP,CYLIM,Limassol New Port,Y,N,N,Y
"SRID=4326;MULTIPOINT(33.043 34.669)",CYP,CYLOP,Limassol Old Port,Y,N,N,Y
"SRID=4326;MULTIPOINT(33.777 34.981)",CYP,CYORM,Ormidia,Y,N,N,Y
"SRID=4326;MULTIPOINT(34.037 35.038)",CYP,CYPAR,Paralimni,Y,N,N,Y
"SRID=4326;MULTIPOINT(32.412 34.755)",CYP,CYPFO,Paphos,Y,N,Y,Y
"SRID=4326;MULTIPOINT(32.55 35.167)",CYP,CYPOM,Pomos,Y,N,N,Y
"SRID=4326;MULTIPOINT(33.901 34.97)",CYP,CYPOT,Potamos,Y,N,N,Y
"SRID=4326;MULTIPOINT(32.671 35.19)",CYP,CYPYR,Pyrgos,Y,N,N,Y
"SRID=4326;MULTIPOINT(34.016 35.055)",CYP,CYTRI,Ayia Triada,Y,N,N,Y
"SRID=4326;MULTIPOINT(33.831 34.964)",CYP,CYXYL,Xylofagou,Y,N,N,Y
"SRID=4326;MULTIPOINT(33.338 34.727)",CYP,CYZYG,Zygi,Y,N,N,Y
"SRID=4326;MULTIPOINT(9.933 54.633)",DEU,DE4AV,ARNIS,Y,N,N,Y
"SRID=4326;MULTIPOINT(12.622 54.372)",DEU,DE5B6,BODSTEDT,Y,N,N,Y
"SRID=4326;MULTIPOINT(9.567 53.717)",DEU,DE63D,Seester,Y,N,N,Y
"SRID=4326;MULTIPOINT(11.061 54.188)",DEU,DE63V,Kellenhusen,Y,N,N,Y
"SRID=4326;MULTIPOINT(10.765 54.062)",DEU,DE64R,Sierksdorf,Y,N,N,Y
"SRID=4326;MULTIPOINT(10.753 54.051)",DEU,DE64V,Haffkrug,Y,N,N,Y
"SRID=4326;MULTIPOINT(10.813 53.993)",DEU,DE64Z,Niendorf Ostsee,Y,N,N,Y
"SRID=4326;MULTIPOINT(10.68 54.318)",DEU,DE65G,Hohwacht,Y,N,N,Y
"SRID=4326;MULTIPOINT(8.883 54.005)",DEU,DE68S,FRIEDRICHSKOOG,Y,N,N,Y
"SRID=4326;MULTIPOINT(8.381 54.631)",DEU,DE69S,WITTDÜN,Y,N,N,Y
"SRID=4326;MULTIPOINT(11.898 54.148)",DEU,DE73B,Börgerende,Y,N,N,Y
"SRID=4326;MULTIPOINT(8.521 53.736)",DEU,DE75Q,Dorum,Y,N,N,Y
"SRID=4326;MULTIPOINT(11.563 54.031)",DEU,DE7B6,BOIENSDORF,Y,N,N,Y
"SRID=4326;MULTIPOINT(14.271 53.739)",DEU,DE8AN,ALTWARP,Y,N,N,Y
"SRID=4326;MULTIPOINT(12.421 54.381)",DEU,DEAAN,AHRENSHOOP-ALTHAGEN,Y,N,N,Y
"SRID=4326;MULTIPOINT(8.049 53.526)",DEU,DEACC,ACCUMERSIEL,Y,N,N,Y
"SRID=4326;MULTIPOINT(14.193 53.943)",DEU,DEAHC,AHLBECK,Y,N,N,Y
"SRID=4326;MULTIPOINT(10.791 54.309)",DEU,DEB02,Brök,Y,N,N,Y
"SRID=4326;MULTIPOINT(9.609 54.829)",DEU,DEB99,BOCKHOLMWIK,Y,N,N,Y
"SRID=4326;MULTIPOINT(13.716 54.362)",DEU,DEBA2,Baabe,Y,N,N,Y
"SRID=4326;MULTIPOINT(14.138 53.968)",DEU,DEBA4,BANSIN,Y,N,N,Y
"SRID=4326;MULTIPOINT(12.727 54.372)",DEU,DEBBH,BARTH,Y,N,N,Y
"SRID=4326;MULTIPOINT(9.418 53.877)",DEU,DEBEI,BEIDENFLETH,Y,N,Y,Y
"SRID=4326;MULTIPOINT(7.575 53.675)",DEU,DEBEN,BENSERSIEL,Y,N,Y,Y
"SRID=4326;MULTIPOINT(13.033 54.433)",DEU,DEBH7,BARHÖFT,Y,N,N,Y
"SRID=4326;MULTIPOINT(8.483 53.333)",DEU,DEBKE,BRAKE,Y,N,Y,Y
"SRID=4326;MULTIPOINT(9.44 53.872)",DEU,DEBL5,BAHRENFLETH,Y,N,N,Y
"SRID=4326;MULTIPOINT(9.434 53.752)",DEU,DEBLJ,BIELENBERG,Y,N,N,Y
"SRID=4326;MULTIPOINT(6.75 53.558)",DEU,DEBMK,BORKUM,Y,N,Y,Y
