geom,country_code,code,name,fishing_port,landing_place,commercial_port
"SRID=4326;MULTIPOINT(11.685 57.712)",SWE,SEKVS,Kalvsund,,Y,
"SRID=4326;MULTIPOINT(23.189 65.793)",SWE,SEKXN,Kalix-Nyborg,,Y,
"SRID=4326;MULTIPOINT(14.241 55.438)",SWE,SEKYL,Kyls Strand,,Y,
"SRID=4326;MULTIPOINT(12.677 55.908)",SWE,SEKYV,"Kyrkbacken, Ven",,Y,
"SRID=4326;MULTIPOINT(12.849 55.862)",SWE,SELAA,Landskrona,Y,,Y
"SRID=4326;MULTIPOINT(17.381 61.748)",SWE,SELAB,Lakbäck,,Y,
"SRID=4326;MULTIPOINT(17.571 58.75)",SWE,SELAC,Lacka,,Y,
"SRID=4326;MULTIPOINT(17.552 60.651)",SWE,SELAD,Långsand,,Y,
"SRID=4326;MULTIPOINT(11.626 57.856)",SWE,SELAG,"Långö, Kungälv",,Y,
"SRID=4326;MULTIPOINT(18.921 59.442)",SWE,SELAK,Långvik,,Y,
"SRID=4326;MULTIPOINT(19.098 57.949)",SWE,SELAR,Lauter,,Y,
"SRID=4326;MULTIPOINT(11.275 58.628)",SWE,SELAS,Långesjö,,Y,
"SRID=4326;MULTIPOINT(17.865 58.744)",SWE,SELAT,Landsort,,Y,
"SRID=4326;MULTIPOINT(19.083 57.953)",SWE,SELAU,Lauterhorn,,Y,
"SRID=4326;MULTIPOINT(17.658 62.233)",SWE,SELDD,Lörudden,,Y,
"SRID=4326;MULTIPOINT(12.753 56.334)",SWE,SELEI,Lervik,,Y,
"SRID=4326;MULTIPOINT(11.917 57.454)",SWE,SELEL,Lerkil,,Y,
"SRID=4326;MULTIPOINT(12.557 56.177)",SWE,SELET,Lerberget,,Y,
"SRID=4326;MULTIPOINT(18.989 57.79)",SWE,SELEV,Lergrav,,Y,
"SRID=4326;MULTIPOINT(11.85 57.668)",SWE,SELGD,Långedrag,,Y,
"SRID=4326;MULTIPOINT(18.283 59.075)",SWE,SELGG,Långgarn,,Y,
"SRID=4326;MULTIPOINT(15.822 56.08)",SWE,SELGO,Långören,,Y,
"SRID=4326;MULTIPOINT(16.649 57.651)",SWE,SELGV,"Långö, S Västervik",,Y,
"SRID=4326;MULTIPOINT(12.952 55.436)",SWE,SELHA,Lilla Hammar,,Y,
"SRID=4326;MULTIPOINT(16.759 58.432)",SWE,SELHU,Lilla Hummelvik,,Y,
