geom,north,south,east,west,code,name,enabled
"SRID=4326;MULTIPOLYGON (((-16.9999999999999010 18.0000000000000990, -16.9999999999999010 18.5000000000000990, -16.4999999999999010 18.5000000000000990, -16.4999999999999010 18.0000000000000990, -16.9999999999999010 18.0000000000000990)))",18.5,18.0,16.5,17.0,18S4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.4999999999999010 18.0000000000000990, -16.4999999999999010 18.5000000000000990, -15.9999999999999010 18.5000000000000990, -15.9999999999999010 18.0000000000000990, -16.4999999999999010 18.0000000000000990)))",18.5,18.0,16.0,16.5,18S3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.9999999999999010 18.5000000000000990, -19.9999999999999010 19.0000000000000990, -19.4999999999999010 19.0000000000000990, -19.4999999999999010 18.5000000000000990, -19.9999999999999010 18.5000000000000990)))",19.0,18.5,19.5,20.0,18V1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.4999999999999010 18.5000000000000990, -19.4999999999999010 19.0000000000000990, -18.9999999999999010 19.0000000000000990, -18.9999999999999010 18.5000000000000990, -19.4999999999999010 18.5000000000000990)))",19.0,18.5,19.0,19.5,18V2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.9999999999999010 18.5000000000000990, -18.9999999999999010 19.0000000000000990, -18.4999999999999010 19.0000000000000990, -18.4999999999999010 18.5000000000000990, -18.9999999999999010 18.5000000000000990)))",19.0,18.5,18.5,19.0,18U1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.4999999999999010 18.5000000000000990, -18.4999999999999010 19.0000000000000990, -17.9999999999999010 19.0000000000000990, -17.9999999999999010 18.5000000000000990, -18.4999999999999010 18.5000000000000990)))",19.0,18.5,18.0,18.5,18U2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.9999999999999010 18.5000000000000990, -17.9999999999999010 19.0000000000000990, -17.4999999999999010 19.0000000000000990, -17.4999999999999010 18.5000000000000990, -17.9999999999999010 18.5000000000000990)))",19.0,18.5,17.5,18.0,18T1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.4999999999999010 18.5000000000000990, -17.4999999999999010 19.0000000000000990, -16.9999999999999010 19.0000000000000990, -16.9999999999999010 18.5000000000000990, -17.4999999999999010 18.5000000000000990)))",19.0,18.5,17.0,17.5,18T2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.9999999999999010 18.5000000000000990, -16.9999999999999010 19.0000000000000990, -16.4999999999999010 19.0000000000000990, -16.4999999999999010 18.5000000000000990, -16.9999999999999010 18.5000000000000990)))",19.0,18.5,16.5,17.0,18S1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.4999999999999010 18.5000000000000990, -16.4999999999999010 19.0000000000000990, -15.9999999999999010 19.0000000000000990, -15.9999999999999010 18.5000000000000990, -16.4999999999999010 18.5000000000000990)))",19.0,18.5,16.0,16.5,18S2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.9999999999999010 19.0000000000000990, -19.9999999999999010 19.5000000000000990, -19.4999999999999010 19.5000000000000990, -19.4999999999999010 19.0000000000000990, -19.9999999999999010 19.0000000000000990)))",19.5,19.0,19.5,20.0,19V4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.4999999999999010 19.0000000000000990, -19.4999999999999010 19.5000000000000990, -18.9999999999999010 19.5000000000000990, -18.9999999999999010 19.0000000000000990, -19.4999999999999010 19.0000000000000990)))",19.5,19.0,19.0,19.5,19V3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.9999999999999010 19.0000000000000990, -18.9999999999999010 19.5000000000000990, -18.4999999999999010 19.5000000000000990, -18.4999999999999010 19.0000000000000990, -18.9999999999999010 19.0000000000000990)))",19.5,19.0,18.5,19.0,19U4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.4999999999999010 19.0000000000000990, -18.4999999999999010 19.5000000000000990, -17.9999999999999010 19.5000000000000990, -17.9999999999999010 19.0000000000000990, -18.4999999999999010 19.0000000000000990)))",19.5,19.0,18.0,18.5,19U3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.9999999999999010 19.0000000000000990, -17.9999999999999010 19.5000000000000990, -17.4999999999999010 19.5000000000000990, -17.4999999999999010 19.0000000000000990, -17.9999999999999010 19.0000000000000990)))",19.5,19.0,17.5,18.0,19T4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.4999999999999010 19.0000000000000990, -17.4999999999999010 19.5000000000000990, -16.9999999999999010 19.5000000000000990, -16.9999999999999010 19.0000000000000990, -17.4999999999999010 19.0000000000000990)))",19.5,19.0,17.0,17.5,19T3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.9999999999999010 19.0000000000000990, -16.9999999999999010 19.5000000000000990, -16.4999999999999010 19.5000000000000990, -16.4999999999999010 19.0000000000000990, -16.9999999999999010 19.0000000000000990)))",19.5,19.0,16.5,17.0,19S4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.4999999999999010 19.0000000000000990, -16.4999999999999010 19.5000000000000990, -15.9999999999999010 19.5000000000000990, -15.9999999999999010 19.0000000000000990, -16.4999999999999010 19.0000000000000990)))",19.5,19.0,16.0,16.5,19S3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.9999999999999010 19.5000000000000990, -19.9999999999999010 20.0000000000000990, -19.4999999999999010 20.0000000000000990, -19.4999999999999010 19.5000000000000990, -19.9999999999999010 19.5000000000000990)))",20.0,20.5,19.5,20.0,19V1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.4999999999999010 19.5000000000000990, -19.4999999999999010 20.0000000000000990, -18.9999999999999010 20.0000000000000990, -18.9999999999999010 19.5000000000000990, -19.4999999999999010 19.5000000000000990)))",20.0,20.5,19.0,19.5,19V2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.9999999999999010 19.5000000000000990, -18.9999999999999010 20.0000000000000990, -18.4999999999999010 20.0000000000000990, -18.4999999999999010 19.5000000000000990, -18.9999999999999010 19.5000000000000990)))",20.0,20.5,18.5,19.0,19U1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.4999999999999010 19.5000000000000990, -18.4999999999999010 20.0000000000000990, -17.9999999999999010 20.0000000000000990, -17.9999999999999010 19.5000000000000990, -18.4999999999999010 19.5000000000000990)))",20.0,20.5,18.0,18.5,19U2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.9999999999999010 19.5000000000000990, -17.9999999999999010 20.0000000000000990, -17.4999999999999010 20.0000000000000990, -17.4999999999999010 19.5000000000000990, -17.9999999999999010 19.5000000000000990)))",20.0,20.5,17.5,18.0,19T1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.4999999999999010 19.5000000000000990, -17.4999999999999010 20.0000000000000990, -16.9999999999999010 20.0000000000000990, -16.9999999999999010 19.5000000000000990, -17.4999999999999010 19.5000000000000990)))",20.0,20.5,17.0,17.5,19T2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.9999999999999010 19.5000000000000990, -16.9999999999999010 20.0000000000000990, -16.4999999999999010 20.0000000000000990, -16.4999999999999010 19.5000000000000990, -16.9999999999999010 19.5000000000000990)))",20.0,20.5,16.5,17.0,19S1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.4999999999999010 19.5000000000000990, -16.4999999999999010 20.0000000000000990, -15.9999999999999010 20.0000000000000990, -15.9999999999999010 19.5000000000000990, -16.4999999999999010 19.5000000000000990)))",20.0,20.5,16.0,16.5,19S2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.9999999999999010 20.0000000000000990, -19.9999999999999010 20.5000000000000990, -19.4999999999999010 20.5000000000000990, -19.4999999999999010 20.0000000000000990, -19.9999999999999010 20.0000000000000990)))",20.5,20.0,19.5,20.0,20V4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.4999999999999010 20.0000000000000990, -19.4999999999999010 20.5000000000000990, -18.9999999999999010 20.5000000000000990, -18.9999999999999010 20.0000000000000990, -19.4999999999999010 20.0000000000000990)))",20.5,20.0,19.0,19.5,20V3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.9999999999999010 20.0000000000000990, -18.9999999999999010 20.5000000000000990, -18.4999999999999010 20.5000000000000990, -18.4999999999999010 20.0000000000000990, -18.9999999999999010 20.0000000000000990)))",20.5,20.0,18.5,19.0,20U4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.4999999999999010 20.0000000000000990, -18.4999999999999010 20.5000000000000990, -17.9999999999999010 20.5000000000000990, -17.9999999999999010 20.0000000000000990, -18.4999999999999010 20.0000000000000990)))",20.5,20.0,18.0,18.5,20U3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.9999999999999010 20.0000000000000990, -17.9999999999999010 20.5000000000000990, -17.4999999999999010 20.5000000000000990, -17.4999999999999010 20.0000000000000990, -17.9999999999999010 20.0000000000000990)))",20.5,20.0,17.5,18.0,20T4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.4999999999999010 20.0000000000000990, -17.4999999999999010 20.5000000000000990, -16.9999999999999010 20.5000000000000990, -16.9999999999999010 20.0000000000000990, -17.4999999999999010 20.0000000000000990)))",20.5,20.0,17.0,17.5,20T3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.9999999999999010 20.0000000000000990, -16.9999999999999010 20.5000000000000990, -16.4999999999999010 20.5000000000000990, -16.4999999999999010 20.0000000000000990, -16.9999999999999010 20.0000000000000990)))",20.5,20.0,16.5,17.0,20S4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.4999999999999010 20.0000000000000990, -16.4999999999999010 20.5000000000000990, -15.9999999999999010 20.5000000000000990, -15.9999999999999010 20.0000000000000990, -16.4999999999999010 20.0000000000000990)))",20.5,20.0,16.0,16.5,20S3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.9999999999999010 20.5000000000000990, -19.9999999999999010 21.0000000000000990, -19.4999999999999010 21.0000000000000990, -19.4999999999999010 20.5000000000000990, -19.9999999999999010 20.5000000000000990)))",21.0,20.5,19.5,20.0,20V1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.4999999999999010 20.5000000000000990, -19.4999999999999010 21.0000000000000990, -18.9999999999999010 21.0000000000000990, -18.9999999999999010 20.5000000000000990, -19.4999999999999010 20.5000000000000990)))",21.0,20.5,19.0,19.5,20V2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.9999999999999010 20.5000000000000990, -18.9999999999999010 21.0000000000000990, -18.4999999999999010 21.0000000000000990, -18.4999999999999010 20.5000000000000990, -18.9999999999999010 20.5000000000000990)))",21.0,20.5,18.5,19.0,20U1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.4999999999999010 20.5000000000000990, -18.4999999999999010 21.0000000000000990, -17.9999999999999010 21.0000000000000990, -17.9999999999999010 20.5000000000000990, -18.4999999999999010 20.5000000000000990)))",21.0,20.5,18.0,18.5,20U2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.9999999999999010 20.5000000000000990, -17.9999999999999010 21.0000000000000990, -17.4999999999999010 21.0000000000000990, -17.4999999999999010 20.5000000000000990, -17.9999999999999010 20.5000000000000990)))",21.0,20.5,17.5,18.0,20T1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.4999999999999010 20.5000000000000990, -17.4999999999999010 21.0000000000000990, -16.9999999999999010 21.0000000000000990, -16.9999999999999010 20.5000000000000990, -17.4999999999999010 20.5000000000000990)))",21.0,20.5,17.0,17.5,20T2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.9999999999999010 20.5000000000000990, -16.9999999999999010 21.0000000000000990, -16.4999999999999010 21.0000000000000990, -16.4999999999999010 20.5000000000000990, -16.9999999999999010 20.5000000000000990)))",21.0,20.5,16.5,17.0,20S1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.4999999999999010 20.5000000000000990, -16.4999999999999010 21.0000000000000990, -15.9999999999999010 21.0000000000000990, -15.9999999999999010 20.5000000000000990, -16.4999999999999010 20.5000000000000990)))",21.0,20.5,16.0,16.5,20S2,MRT,Y
"SRID=4326;MULTIPOLYGON (((18.5000000000000990 30.0000000000000990, 18.5000000000000990 30.5000000000000990, 19.0000000000000990 30.5000000000000990, 19.0000000000000990 30.0000000000000990, 18.5000000000000990 30.0000000000000990)))",30.5,30.0,19.0,18.5,M00E9,GFCM,Y
"SRID=4326;MULTIPOLYGON (((19.0000000000000990 30.0000000000000990, 19.0000000000000990 30.5000000000000990, 19.5000000000000990 30.5000000000000990, 19.5000000000000990 30.0000000000000990, 19.0000000000000990 30.0000000000000990)))",30.5,30.0,19.5,19.0,M00F0,GFCM,Y
"SRID=4326;MULTIPOLYGON (((19.5000000000000990 30.0000000000000990, 19.5000000000000990 30.5000000000000990, 20.0000000000000990 30.5000000000000990, 20.0000000000000990 30.0000000000000990, 19.5000000000000990 30.0000000000000990)))",30.5,30.0,20.0,19.5,M00F1,GFCM,Y
"SRID=4326;MULTIPOLYGON (((17.5000000000000990 30.5000000000000990, 17.5000000000000990 31.0000000000000990, 18.0000000000000990 31.0000000000000990, 18.0000000000000990 30.5000000000000990, 17.5000000000000990 30.5000000000000990)))",31.0,30.5,18.0,17.5,M01E7,GFCM,Y
"SRID=4326;MULTIPOLYGON (((18.0000000000000990 30.5000000000000990, 18.0000000000000990 31.0000000000000990, 18.5000000000000990 31.0000000000000990, 18.5000000000000990 30.5000000000000990, 18.0000000000000990 30.5000000000000990)))",31.0,30.5,18.5,18.0,M01E8,GFCM,Y
"SRID=4326;MULTIPOLYGON (((18.5000000000000990 30.5000000000000990, 18.5000000000000990 31.0000000000000990, 19.0000000000000990 31.0000000000000990, 19.0000000000000990 30.5000000000000990, 18.5000000000000990 30.5000000000000990)))",31.0,30.5,19.0,18.5,M01E9,GFCM,Y
"SRID=4326;MULTIPOLYGON (((19.0000000000000990 30.5000000000000990, 19.0000000000000990 31.0000000000000990, 19.5000000000000990 31.0000000000000990, 19.5000000000000990 30.5000000000000990, 19.0000000000000990 30.5000000000000990)))",31.0,30.5,19.5,19.0,M01F0,GFCM,Y
"SRID=4326;MULTIPOLYGON (((19.5000000000000990 30.5000000000000990, 19.5000000000000990 31.0000000000000990, 20.0000000000000990 31.0000000000000990, 20.0000000000000990 30.5000000000000990, 19.5000000000000990 30.5000000000000990)))",31.0,30.5,20.0,19.5,M01F1,GFCM,Y
"SRID=4326;MULTIPOLYGON (((20.0000000000000990 30.5000000000000990, 20.0000000000000990 31.0000000000000990, 20.5000000000000990 31.0000000000000990, 20.5000000000000990 30.5000000000000990, 20.0000000000000990 30.5000000000000990)))",31.0,30.5,20.5,20.0,M01F2,GFCM,Y
"SRID=4326;MULTIPOLYGON (((28.5000000000000990 30.5000000000000990, 28.5000000000000990 31.0000000000000990, 29.0000000000000990 31.0000000000000990, 29.0000000000000990 30.5000000000000990, 28.5000000000000990 30.5000000000000990)))",31.0,30.5,29.0,28.5,M01G9,GFCM,Y
"SRID=4326;MULTIPOLYGON (((29.0000000000000990 30.5000000000000990, 29.0000000000000990 31.0000000000000990, 29.5000000000000990 31.0000000000000990, 29.5000000000000990 30.5000000000000990, 29.0000000000000990 30.5000000000000990)))",31.0,30.5,29.5,29.0,M01H0,GFCM,Y
"SRID=4326;MULTIPOLYGON (((29.5000000000000990 30.5000000000000990, 29.5000000000000990 31.0000000000000990, 30.0000000000000990 31.0000000000000990, 30.0000000000000990 30.5000000000000990, 29.5000000000000990 30.5000000000000990)))",31.0,30.5,30.0,29.5,M01H1,GFCM,Y
"SRID=4326;MULTIPOLYGON (((15.5000000000000990 31.0000000000000990, 15.5000000000000990 31.5000000000000990, 16.0000000000000990 31.5000000000000990, 16.0000000000000990 31.0000000000000990, 15.5000000000000990 31.0000000000000990)))",31.5,31.0,16.0,15.5,M02E3,GFCM,Y
"SRID=4326;MULTIPOLYGON (((16.0000000000000990 31.0000000000000990, 16.0000000000000990 31.5000000000000990, 16.5000000000000990 31.5000000000000990, 16.5000000000000990 31.0000000000000990, 16.0000000000000990 31.0000000000000990)))",31.5,31.0,16.5,16.0,M02E4,GFCM,Y
"SRID=4326;MULTIPOLYGON (((16.5000000000000990 31.0000000000000990, 16.5000000000000990 31.5000000000000990, 17.0000000000000990 31.5000000000000990, 17.0000000000000990 31.0000000000000990, 16.5000000000000990 31.0000000000000990)))",31.5,31.0,17.0,16.5,M02E5,GFCM,Y
"SRID=4326;MULTIPOLYGON (((17.0000000000000990 31.0000000000000990, 17.0000000000000990 31.5000000000000990, 17.5000000000000990 31.5000000000000990, 17.5000000000000990 31.0000000000000990, 17.0000000000000990 31.0000000000000990)))",31.5,31.0,17.5,17.0,M02E6,GFCM,Y
